/home/benjamin/Documents/test_rust/gzip_parser/test.pairs.gz.stats.tsv
         3717729 function calls (3631924 primitive calls) in 24.237 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3226    0.001    0.000    0.001    0.000 _compiler.py:570(isstring)
     1933    0.001    0.000    0.001    0.000 _parser.py:172(__setitem__)
     1977    0.001    0.000    0.001    0.000 enum.py:79(_is_private)
       27    0.001    0.000    0.020    0.001 CodonTable.py:493(register_ncbi_table)
     4555    0.001    0.000    0.001    0.000 {method 'values' of 'mappingproxy' objects}
     1771    0.001    0.000    0.260    0.000 __init__.py:226(compile)
        1    0.001    0.001    0.003    0.003 packages.py:1(<module>)
      314    0.001    0.000    0.011    0.000 _docscrape.py:195(_read_to_next_section)
      278    0.001    0.000    0.004    0.000 overrides.py:83(verify_matching_signatures)
     2142    0.001    0.000    0.001    0.000 copy.py:191(_deepcopy_list)
      462    0.001    0.000    0.003    0.000 copy.py:61(copy)
     1036    0.001    0.000    0.001    0.000 _parser.py:372(_escape)
      970    0.001    0.000    0.010    0.000 artist.py:1542(is_alias)
       52    0.001    0.000    0.040    0.001 _axis_nan_policy.py:413(axis_nan_policy_decorator)
     1821    0.001    0.000    0.002    0.000 _compiler.py:398(_simple)
       72    0.001    0.000    0.009    0.000 _param_validation.py:182(wrapper)
     1641    0.001    0.000    0.002    0.000 ast.py:269(iter_child_nodes)
       97    0.001    0.000    0.005    0.000 docscrape.py:228(_parse_param_list)
     8226    0.001    0.000    0.001    0.000 {method 'issuperset' of 'set' objects}
        7    0.001    0.000    0.004    0.001 __init__.py:707(__init__)
       52    0.001    0.000    0.021    0.000 _docscrape.py:371(_parse)
      104    0.001    0.000    0.006    0.000 _docscrape.py:218(_parse_param_list)
      201    0.001    0.000    0.002    0.000 typing.py:1096(_generic_init_subclass)
3231/3228    0.001    0.000    0.001    0.000 abstract.py:124(__eq__)
     5460    0.001    0.000    0.001    0.000 typing.py:1246(<genexpr>)
      522    0.001    0.000    0.001    0.000 compute.py:106(_get_arg_names)
   306/12    0.001    0.000    0.006    0.000 core.py:811(_parseNoCache)
     4033    0.001    0.000    0.005    0.000 <frozen abc>:117(__instancecheck__)
  714/600    0.001    0.000    0.002    0.000 _param_validation.py:101(make_constraint)
     3280    0.001    0.000    0.001    0.000 _metadata_requests.py:301(__init__)
      254    0.001    0.000    0.002    0.000 dataclasses.py:760(_get_field)
      102    0.001    0.000    0.224    0.002 artist.py:126(__init_subclass__)
     2435    0.001    0.000    0.001    0.000 _docscrape.py:91(peek)
      125    0.001    0.000    0.003    0.000 typing.py:1047(_generic_class_getitem)
      468    0.001    0.000    0.001    0.000 _docscrape.py:452(_str_param_list)
        8    0.001    0.000    0.045    0.006 utils.py:28(expr_dispatch)
       94    0.001    0.000    0.011    0.000 __init__.py:1399(_preprocess_data)
      976    0.001    0.000    0.015    0.000 __init__.py:715(__setitem__)
       40    0.001    0.000    0.001    0.000 textwrap.py:238(_wrap_chunks)
     2911    0.001    0.000    0.002    0.000 castgraph.py:48(get)
        1    0.001    0.001    0.001    0.001 _parser.py:568(parser)
       58    0.001    0.000    0.001    0.000 {built-in method _io.open}
     1613    0.001    0.000    0.001    0.000 _parser.py:953(fix_flags)
     5134    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
      383    0.001    0.000    0.001    0.000 <frozen posixpath>:71(join)
     2927    0.001    0.000    0.002    0.000 castgraph.py:65(__getitem__)
     3377    0.001    0.000    0.001    0.000 {built-in method builtins.iter}
     3171    0.001    0.000    0.002    0.000 abstract.py:127(__ne__)
      152    0.001    0.000    0.022    0.000 base_component.py:409(_explicitize_args)
     4660    0.001    0.000    0.001    0.000 artist.py:1563(<genexpr>)
      290    0.001    0.000    0.001    0.000 functions.py:245(__init__)
        1    0.001    0.001    0.001    0.001 Restriction_Dictionary.py:1(<module>)
      605    0.001    0.000    0.002    0.000 _inspect.py:96(getargspec)
      488    0.001    0.000    0.008    0.000 typing.py:1458(copy_with)
      328    0.001    0.000    0.001    0.000 typing.py:1598(_value_and_type_iter)
      109    0.001    0.000    0.013    0.000 _distn_infrastructure.py:1901(_attach_methods)
      675    0.001    0.000    0.001    0.000 typing.py:2476(overload)
       20    0.001    0.000    0.074    0.004 popen_fork.py:62(_launch)
       36    0.001    0.000    0.036    0.001 utils.py:1(<module>)
      371    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1685(path_hook_for_FileFinder)
     3476    0.001    0.000    0.001    0.000 inspect.py:295(isclass)
     1903    0.001    0.000    0.001    0.000 enum.py:48(_is_dunder)
        9    0.001    0.000    0.042    0.005 core.py:1(<module>)
      261    0.001    0.000    0.001    0.000 compute.py:203(_get_options_class)
     1112    0.001    0.000    0.001    0.000 _docscrape.py:87(is_unindented)
      138    0.001    0.000    0.004    0.000 typing.py:746(Literal)
       72    0.001    0.000    0.001    0.000 inspect.py:3102(_bind)
  585/497    0.001    0.000    0.001    0.000 _compiler.py:436(_get_literal_prefix)
